"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"67",221,137,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,30,0
"68",222,140,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,31,0
"69",223,142,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,32,0
"70",224,153,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,34,0
"71",225,138,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,31,0
"72",226,278,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,62,0
"73",227,346,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,77,0
"74",228,648,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,144,0
"75",229,326,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,73,0
"76",230,232,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,52,0
"77",301,49704,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,11054,0.4
"78",302,41538,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,9238,0.3
"79",303,270522,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,60163,2.2
"80",304,270232,"Herb Height = 0.4 meter",255,150,64,1,0.588235,0.25098,60098,2.2
"81",305,185115,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,41169,1.5
"82",306,70697,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,15723,0.6
"83",307,34629,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,7701,0.3
"84",308,100466,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,22343,0.8
"85",309,22611,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,5029,0.2
"86",310,18165,"Herb Height >= 1 meter",255,51,0,1,0.2,0,4040,0.1
